QUESTION_ID,MODULE,TOPIC,QUESTION,HINT,ANSWER_CORRECT,WRONG_EXAMPLES,KEYWORDS
Q001,NLP,Generación de texto con RNN,¿Cuál es el propósito principal de la codificación one-hot al preparar datos de texto para una RNN?,Considere qué tipo de datos puede entender y procesar una red neuronal directamente.,"[""Transformar palabras o caracteres en vectores numéricos que la red neuronal puede procesar."", ""Transformar token(s) o caracteres en vectores numéricos que la red neuronal puede procesar."", ""Convertir palabras o caracteres en vectores numéricos que la red neuronal puede procesar."", ""Transformar palabras o caracteres en representación(es) numérica(s) que la red neuronal puede procesar.""]","[""Medir la diferencia entre las predicciones del modelo y los valores reales."", ""Ajustar los pesos de la red para reducir el error durante el entrenamiento."", ""Introducir aleatoriedad en la selección de la siguiente palabra durante la generación de texto.""]","['neuronal', 'vectores', 'caracteres', 'convertir', 'palabras', 'transformar', 'procesar', 'numéricos', 'token', 'numérica']"
Q002,NLP,Generación de texto con RNN,"En el contexto del entrenamiento de una RNN, ¿cuál es la función de un optimizador como Adam o el Descenso de Gradiente Estocástico (SGD)?",Este componente es el responsable del proceso de 'aprendizaje' durante el entrenamiento.,"[""Ajustar los pesos de la red para reducir la función de pérdida."", ""Síntesis: Ajustar los pesos de la red para minimizar la función de pérdida."", ""Ajustar los pesos de la red para minimizar la función de pérdida.""]","[""Evaluar el rendimiento final del modelo en un conjunto de datos de validación."", ""Definir la arquitectura de la red, incluyendo el número de capas y neuronas."", ""Convertir el texto de entrada en secuencias de vectores numéricos.""]","['minimizar', 'reducir', 'pérdida', 'pesos', 'ajustar', 'función', 'red']"
Q003,NLP,Generación de texto con RNN,"Al generar texto con una RNN entrenada, ¿qué es una 'semilla' (seed)?",Conecta el concepto con su uso práctico en el flujo del módulo.,"[""Una palabra o secuencia de palabras inicial que se proporciona al modelo para comenzar la generación."", ""Síntesis: Una palabra o secuencia de palabras inicial que se proporciona al modelo"", ""Una token(s) o secuencia de token(s) inicial que se proporciona al modelo para comenzar la generación.""]","[""El conjunto completo de datos utilizado para entrenar el modelo de lenguaje."", ""Un hiperparámetro que controla la creatividad o aleatoriedad del texto generado."", ""La función que mide el error del modelo durante la fase de entrenamiento.""]","['secuencia', 'modelo', 'palabra', 'generación', 'palabras', 'inicial', 'comenzar', 'token', 'proporciona']"
Q004,NLP,Generación de texto con RNN,¿Por qué las variantes de RNN como LSTM y GRU son a menudo preferidas sobre las RNN simples para tareas de texto?,El texto menciona un desafío relacionado con el contexto y la memoria en secuencias extensas.,"[""Síntesis: Porque son más efectivas para modelar dependencias a largo plazo en los"", ""Porque son más efectivas para modelar dependencias a largo plazo en los datos."", ""Porque son más efectivas para modelar dependencias a largo plazo en los datos. (equivalente)""]","[""Porque garantizan la generación de texto sin errores gramaticales."", ""Porque requieren significativamente menos datos para su entrenamiento."", ""Porque utilizan la codificación one-hot de manera más eficiente.""]","['modelar', 'datos', 'efectivas', 'dependencias', 'plazo', 'largo']"
Q005,NLP,Generación de texto con RNN,¿Da ejemplos de aplicación de la generación de texto con RNN?,Busque una tarea que implique crear una nueva secuencia de palabras a partir de una secuencia existente.,"[""Traducción automática de un idioma a otro."", ""Síntesis: Traducción automática de un idioma a otro."", ""Traducción automática de un idioma a otro. (equivalente)""]","[""Predicción de precios en el mercado de valores."", ""Compresión de archivos de datos."", ""Clasificación de imágenes.""]","['traducción', 'idioma', 'automática']"
Q006,NLP,Generación de texto con RNN,¿Qué implica que el proceso de generación de texto con una RNN sea 'estocástico'?,Esta propiedad es la que permite que los resultados sean más creativos y menos predecibles.,"[""Síntesis: Que el modelo puede producir diferentes textos incluso con la misma entrada"", ""Que el modelo puede producir diferentes textos incluso con la misma entrada inicial."", ""Que el modelo puede producir diferentes textos incluso con la misma entrada inicial. (equivalente)""]","[""Que el modelo siempre elige la única palabra siguiente más probable."", ""Que el modelo solo puede ser entrenado una única vez con un conjunto de datos."", ""Que el modelo requiere un número fijo de palabras para generar una secuencia completa.""]","['modelo', 'textos', 'diferentes', 'inicial', 'puede', 'incluso', 'entrada', 'producir', 'misma']"
Q007,NLP,Generación de texto con RNN,¿Qué función de pérdida se utiliza comúnmente para las tareas de generación de texto?,Esta función matemática mide qué tan diferente es la distribución de probabilidad predicha por el modelo de la distribución real.,"[""Entropía cruzada."", ""Síntesis: Entropía cruzada."", ""Entropía cruzada. (equivalente)""]","[""Descenso de Gradiente Estocástico (SGD)."", ""Codificación one-hot."", ""Temperatura de muestreo.""]","['entropía', 'cruzada']"
Q008,NLP,Generación de texto con RNN,Las RNN han sido superadas por arquitecturas más avanzadas en muchas tareas. ¿Qué arquitecturas son alternativas superiores?,Estas arquitecturas se mencionan en la introducción como sucesoras de las RNN.,"[""CNN y Transformaciones de atención."", ""Síntesis: CNN y Transformaciones de atención."", ""CNN y Transformaciones de atención. (equivalente)""]","[""Máquinas de Vectores de Soporte (SVM) y K-Means."", ""Perceptrones Multicapa (MLP) y Árboles de Decisión."", ""LSTM y GRU.""]","['cnn', 'transformaciones', 'atención']"
Q009,NLP,Generación de texto con RNN,¿Cuál es el objetivo principal de la fase de entrenamiento de una RNN para generación de texto?,El propósito de entrenar un modelo es acercar sus resultados a los datos correctos.,"[""Síntesis: Minimizar la diferencia entre las predicciones del modelo y los siguientes elementos"", ""Minimizar la diferencia entre las predicciones del modelo y los siguientes elementos reales en las secuencias de entrenamiento."", ""Minimizar la diferencia entre las predicciones del modelo y los siguientes elementos reales en las secuencias de entrenamiento. (equivalente)""]","[""Definir el número de capas ocultas y neuronas de la red."", ""Generar texto de la manera más rápida posible, sin importar la coherencia."", ""Crear el vocabulario más grande posible a partir del texto de entrada.""]","['modelo', 'entrenamiento', 'minimizar', 'predicciones', 'siguientes', 'secuencias', 'diferencia', 'reales', 'elementos']"
Q010,NLP,Generación de texto con RNN,¿Cómo influye la 'temperatura de muestreo' en el texto generado por una RNN?,Piense en este parámetro como una perilla que ajusta el nivel de creatividad.,"[""Una temperatura más alta aumenta la diversidad y aleatoriedad en la selección de token(s)."", ""Una temperatura más alta aumenta la diversidad y aleatoriedad en la selección de palabras."", ""Síntesis: Una temperatura más alta aumenta la diversidad y aleatoriedad en la selección""]","[""Una temperatura más alta hace que el modelo elija solo las palabras más probables."", ""Se utiliza únicamente durante la fase de entrenamiento para ajustar la tasa de aprendizaje."", ""Controla directamente la longitud final del texto que se genera.""]","['aleatoriedad', 'diversidad', 'selección', 'aumenta', 'temperatura', 'palabras', 'alta', 'token']"
Q011,NLP,Clasificación de opiniones / Análisis de sentimiento (RNN),"Según el texto, ¿cuál es el propósito principal del 'Análisis de polaridad' en el contexto del análisis de sentimientos?",Considera la forma más fundamental de categorizar una opinión.,"[""Clasificar el sentimiento general de un texto como positivo, negativo o neutral."", ""Síntesis: Clasificar el sentimiento general de un texto como positivo, negativo o neutral."", ""Clasificar el sentimiento general de un texto como positivo, negativo o neutral. (equivalente)""]","[""Agrupar documentos por temas comunes."", ""Detectar sarcasmo y dobles sentidos en el lenguaje."", ""Identificar emociones específicas como 'feliz' o 'triste'.""]","['negativo', 'sentimiento', 'neutral', 'positivo', 'clasificar', 'texto', 'general']"
Q012,NLP,Conjunto de datos y preprocesamiento (RNN/NLP),¿Cuál de los siguientes pasos del proceso de análisis de sentimientos implica dividir el texto en palabras o 'tokens' individuales?,Piensa en cómo una máquina comenzaría a 'leer' una oración.,"[""Tokenización."", ""Síntesis: Tokenización."", ""Tokenización. (equivalente)""]","[""Recopilación de datos"", ""Interpretación"", ""Preprocesamiento de los datos""]",['tokenización']
Q013,NLP,Generación de texto con RNN,"En el contexto de la clasificación de opiniones con RNN, ¿para qué se utiliza un conjunto de datos de prueba?","Una vez que el modelo ha sido entrenado, ¿cómo se comprueba su eficacia real?","[""Para medir qué tan bien el modelo generaliza a textos que no ha visto antes."", ""Síntesis: Para medir qué tan bien el modelo generaliza a textos que no"", ""Para medir qué tan bien el modelo generaliza a textos que no ha visto antes. (equivalente)""]","[""Para ajustar los pesos del modelo durante el descenso de gradiente."", ""Para convertir las palabras del texto en números o tokens."", ""Para alimentar a la RNN con nuevos datos y seguir aprendiendo.""]","['modelo', 'textos', 'generaliza', 'visto', 'medir', 'bien', 'tan']"
Q014,NLP,Clasificación de opiniones / Análisis de sentimiento (RNN),¿Qué tipo de arquitectura de red neuronal se usa para medir similitud entre dos datos?,Revisa la lista de técnicas específicas para la detección de temas.,"[""Redes Neuronales Siamesas"", ""Síntesis: Redes Neuronales Siamesas"", ""Redes Neuronales Siamesas (equivalente)""]","[""Análisis semántico latente (LSA)"", ""Latent Dirichlet Allocation (LDA)"", ""Factorización de matrices no negativas (NMF)""]","['neuronales', 'redes', 'siamesas']"
Q015,NLP,Generación de texto con RNN,¿Por qué las Redes Neuronales Recurrentes (RNN) son especialmente adecuadas para el análisis de sentimientos?,Piensa en la naturaleza secuencial del lenguaje y el procesamiento palabra por palabra.,"[""Porque pueden manejar secuencias de texto y mantener una 'memoria' de lo que han visto previamente."", ""Síntesis: Porque pueden manejar secuencias de texto y mantener una 'memoria' de lo"", ""Porque pueden manejar secuencias de texto y mantener una 'memoria' de lo que han visto previamente. (equivalente)""]","[""Porque identifican frases y oraciones de sentimiento local en un texto."", ""Porque aprenden representaciones eficientes y comprimidas de los datos de entrada."", ""Porque utilizan mecanismos de atención para mejorar la velocidad del entrenamiento.""]","['memoria', 'secuencias', 'texto', 'mantener', 'pueden', 'visto', 'previamente', 'manejar']"
Q016,NLP,Mecanismos de atención,Los modelos basados en Transformers como BERT y GPT se han convertido en el estado del arte para muchas tareas de NLP. ¿Qué mecanismo clave utilizan estas arquitecturas?,Esta arquitectura no procesa secuencialmente; pondera la importancia de distintas palabras.,"[""Síntesis: Mecanismos de atención"", ""Mecanismos de atención"", ""Mecanismos de atención (equivalente)""]","[""Unidades recurrentes cerradas (GRU)"", ""Descomposición en valores singulares (SVD)"", ""Capas convolucionales""]","['mecanismos', 'atención']"
Q017,NLP,Clasificación de opiniones / Análisis de sentimiento (RNN),"¿Cuáles son los desafíos del análisis de sentimientos destacado, relacionado con la naturaleza subjetiva del lenguaje humano?",Piensa en frases cuyo significado es el opuesto a las palabras literales.,"[""La interpretación del sarcasmo, el doble sentido y la jerga."", ""Síntesis: La interpretación del sarcasmo, el doble sentido y la jerga."", ""La interpretación del sarcasmo, el doble sentido y la jerga. (equivalente)""]","[""La selección de la arquitectura de red neuronal adecuada."", ""La dificultad de eliminar palabras vacías y signos de puntuación."", ""La necesidad de grandes volúmenes de datos para el entrenamiento.""]","['sarcasmo', 'interpretación', 'doble', 'jerga']"
Q018,NLP,Clasificación de opiniones / Análisis de sentimiento (RNN),¿Qué técnica de modelado de temas busca descomponer una matriz de término-documento en matrices más pequeñas que representan temas y sus asociaciones con los documentos?,El nombre de la técnica describe la operación matemática que realiza.,"[""Síntesis: Factorización de matrices no negativas (NMF)"", ""Factorización de matrices no negativas (NMF)"", ""Factorización de matrices no negativas (NMF) (equivalente)""]","[""Redes Neuronales Convolucionales (CNN)"", ""Redes neuronales de transformadores"", ""Análisis de polaridad""]","['factorización', 'matrices', 'nmf', 'negativas']"
Q019,NLP,Clasificación de opiniones / Análisis de sentimiento (RNN),¿Cómo se pueden utilizar el modelado de temas y el análisis de sentimientos de forma conjunta?,Proceso de dos pasos: ¿de qué se habla? y ¿cómo se sienten?,"[""Síntesis: Identificando temas y luego analizando el sentimiento de los comentarios para cada"", ""Identificando temas y luego analizando el sentimiento de los comentarios para cada tema específico."", ""Identificando temas y luego analizando el sentimiento de los comentarios para cada tema específico. (equivalente)""]","[""Entrenando un único modelo que realice ambas tareas simultáneamente sin diferenciarlas."", ""Reemplazando el análisis de sentimientos con el modelado de temas para mayor precisión."", ""Utilizando el modelado de temas para preprocesar los datos antes de aplicar el análisis de sentimientos.""]","['analizando', 'comentarios', 'identificando', 'sentimiento', 'tema', 'específico', 'cada', 'temas', 'luego']"
